ResponseId,answerOrder,scenario,question,SCEN,SCEN (2nd),consistent,SCEN (final),action,action (2nd),code1,code1 (2nd),code2,code 2 (2nd),code3,code 3 (2nd),ScenarioCode,ScenarioCode (2nd),ConventionalViolation,ConventionalViolation (2nd),consistent (T:3117; F:126),ConventionalViolation
R_1CkCWTVcfGzYD25,1,scenario1,look to find any interactive exhibits,Y,Y,,Y,ACT,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_1CkCWTVcfGzYD25,2,scenario1,View the permanent exhibits,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_1CkCWTVcfGzYD25,3,scenario1,play with or work the interactive exhibits,Y,Y,,Y,ACT,ACT,,,,,,,LOOK,LOOK,N,N,,N
R_1CkCWTVcfGzYD25,4,scenario1,"Visit the gift shop to see if there are brochures or maps to the museum, to make sure I see it all.",Y,Y,,Y,ACT,ACT,,,,,,,MAP,GIFT,N,N,,N
R_1CkCWTVcfGzYD25,5,scenario1,See whether there is a movie theatre in the museum (As in the natural history museum in Albuquerque  NM).,Y,Y,,Y,ACT,ACT,,,,,,,LOOK,,N,N,,N
R_1CkCWTVcfGzYD25,6,scenario1,Watch the IMAX presentation if the museum has a theatre,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,,N,N,,N
R_1CkCWTVcfGzYD25,7,scenario1,Have a cup of tea in the museum's gift shop/cafe,Y,Y,,Y,ACT,ACT,FOOD,FOOD,,,,,GIFT,GIFT,N,N,,N
R_1CkCWTVcfGzYD25,8,scenario1,"Make some drawings of exhibits I like, i.e., native american dwellings or village exhibits",Y,Y,,Y,ACT,ACT,,,,,,,LOOK,LOOK,N,N,,N
R_1FD26cuU4g8OehX,1,scenario1,I could walk around and look at the exhibits. ,Y,Y,,Y,ACT,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_1FD26cuU4g8OehX,2,scenario1,I could sit down at a bench and relax for awhile. ,N,N,,N,ACT,ACT,,,,,,,,,N,N,,N
