ResponseId,scenario,answerOrder,morality,normality,probability,question,rationality,time
R_1CkCWTVcfGzYD25,scenario1,1,Strongly Disagree,Strongly Disagree,Strongly Disagree,look to find any interactive exhibits,Strongly Disagree,26.089
R_1CkCWTVcfGzYD25,scenario1,2,Strongly Disagree,Strongly Disagree,Strongly Disagree,View the permanent exhibits,Strongly Disagree,21.734
R_1CkCWTVcfGzYD25,scenario1,3,Strongly Disagree,Strongly Disagree,Strongly Disagree,play with or work the interactive exhibits,Strongly Disagree,31.245
R_1CkCWTVcfGzYD25,scenario1,4,Strongly Disagree,Strongly Disagree,Strongly Disagree,"Visit the gift shop to see if there are brochures or maps to the museum, to make sure I see it all.",Strongly Disagree,32.662
R_1CkCWTVcfGzYD25,scenario1,5,Strongly Disagree,Strongly Disagree,Strongly Disagree,See whether there is a movie theatre in the museum (As in the natural history museum in Albuquerque  NM).,Strongly Disagree,58.141
R_1CkCWTVcfGzYD25,scenario1,6,Strongly Disagree,Strongly Disagree,Strongly Disagree,Watch the IMAX presentation if the museum has a theatre,Strongly Disagree,21.782
R_1CkCWTVcfGzYD25,scenario1,7,Strongly Disagree,Strongly Disagree,Disagree,Have a cup of tea in the museum's gift shop/cafe,Disagree,27.59
R_1CkCWTVcfGzYD25,scenario1,8,Strongly Disagree,Strongly Disagree,Strongly Disagree,"Make some drawings of exhibits I like, i.e., native american dwellings or village exhibits",Disagree,36.148
R_1FD26cuU4g8OehX,scenario1,1,Strongly Disagree,Strongly Disagree,Strongly Disagree,I could walk around and look at the exhibits. ,Strongly Disagree,11.05
R_1FD26cuU4g8OehX,scenario1,2,Strongly Disagree,Strongly Disagree,Disagree,I could sit down at a bench and relax for awhile. ,Strongly Disagree,11.763
R_1FD26cuU4g8OehX,scenario1,3,Strongly Disagree,Disagree,Somewhat Agree,I could talk to other people about the exhibits and make a new friend. ,Disagree,11.43
R_1FD26cuU4g8OehX,scenario1,4,Strongly Disagree,Strongly Disagree,Disagree,I could visit the gift shop and find a postcard. ,Strongly Disagree,13.484
R_1FD26cuU4g8OehX,scenario1,5,Disagree,Disagree,Agree,I could visit the bathrooms to splash water on my face and freshen up.,Disagree,19.971
R_1FD26cuU4g8OehX,scenario1,6,Disagree,Agree,Strongly Agree,I could run around the room screaming if I did not care about being kicked out. ,Strongly Agree,38.132
R_1FD26cuU4g8OehX,scenario1,7,Strongly Disagree,Strongly Disagree,Somewhat Disagree,I could look out the window to see what the weather is. ,Disagree,54.574
R_1FD26cuU4g8OehX,scenario1,8,Strongly Disagree,Somewhat Agree,Strongly Agree,I could walk around in circles if I want. ,Agree,41.082
R_1fkhiLIX6aOEIPh,scenario1,1,Strongly Disagree,Strongly Disagree,Strongly Disagree,Look at paintings.,Strongly Disagree,4.031
R_1fkhiLIX6aOEIPh,scenario1,2,Strongly Disagree,Strongly Disagree,Strongly Disagree,Look at sculptures.,Strongly Disagree,4.534
R_1fkhiLIX6aOEIPh,scenario1,3,Strongly Disagree,Strongly Disagree,Strongly Disagree,Look at art installations.,Strongly Disagree,4.153
R_1fkhiLIX6aOEIPh,scenario1,4,Strongly Disagree,Strongly Disagree,Strongly Disagree,Talk to museum patrons.,Strongly Disagree,5.896
R_1fkhiLIX6aOEIPh,scenario1,5,Strongly Disagree,Strongly Disagree,Strongly Disagree,Talk to museum curators.,Strongly Disagree,4.287
R_1fkhiLIX6aOEIPh,scenario1,6,Disagree,Neutral,Neutral,Watch other people.,Disagree,4.098
R_1fkhiLIX6aOEIPh,scenario1,7,Strongly Disagree,Strongly Disagree,Strongly Disagree,Look at exhibits.,Strongly Disagree,6.534
R_1fkhiLIX6aOEIPh,scenario1,8,Strongly Disagree,Strongly Disagree,Strongly Disagree,Go to the bathroom.,Strongly Disagree,3.943
R_1gLQ25ALBFem7jJ,scenario1,1,Strongly Disagree,Strongly Agree,Strongly Disagree,I could take pictures of various items on display at the museum with my phone.,Strongly Disagree,23.79
R_1gLQ25ALBFem7jJ,scenario1,2,Strongly Disagree,Strongly Disagree,Somewhat Disagree,I could wonder why I had to leave my backpack at the coat check and ponder if something bad has happened at the museum in which they had to enact this policy.,Strongly Disagree,63.221
R_1gLQ25ALBFem7jJ,scenario1,3,Somewhat Agree,Agree,Strongly Agree,I could wonder if everything would still be in backpack and if I actually had to leave it if I insisted to take it in instead.,Somewhat Agree,26.673
R_1gLQ25ALBFem7jJ,scenario1,4,Strongly Disagree,Strongly Disagree,Disagree,I could ask the guides more about some of the exhibits in the museum and thier history relating to the items.,Strongly Disagree,47.435
R_1gLQ25ALBFem7jJ,scenario1,5,Disagree,Somewhat Disagree,Somewhat Agree,I could inquire about how to get a job in the museum from other workers there.,Disagree,62.384
R_1gLQ25ALBFem7jJ,scenario1,6,Strongly Disagree,Strongly Disagree,Disagree,I could try and make friends with other visitors who look like they have similar interests.,Strongly Disagree,29.601
R_1gLQ25ALBFem7jJ,scenario1,7,Strongly Disagree,Strongly Disagree,Strongly Disagree,I could learn as much as I could about the history of the museum itself.,Strongly Disagree,45.209
R_1gLQ25ALBFem7jJ,scenario1,8,Disagree,Disagree,Somewhat Agree,I could audio record the presentations from the guides to help me remember what I learned.,Strongly Disagree,66.848
R_1imVtppPmFBmcgr,scenario1,1,Strongly Disagree,Strongly Disagree,Strongly Disagree,Enjoy sculpture,Strongly Disagree,8.074
R_1imVtppPmFBmcgr,scenario1,2,Strongly Disagree,Strongly Disagree,Strongly Disagree,Look at paintings,Strongly Disagree,6.388
R_1imVtppPmFBmcgr,scenario1,3,Strongly Disagree,Strongly Disagree,Strongly Disagree,Spend time in the courtyard,Strongly Disagree,8.712
R_1imVtppPmFBmcgr,scenario1,4,Strongly Disagree,Strongly Disagree,Strongly Disagree,See different genres of art,Strongly Disagree,8.33
R_1imVtppPmFBmcgr,scenario1,5,Strongly Disagree,Strongly Disagree,Strongly Disagree,See artifacts,Strongly Disagree,6.74
R_1imVtppPmFBmcgr,scenario1,6,Strongly Disagree,Strongly Disagree,Strongly Disagree,See natural history exhibits,Strongly Disagree,12.318
R_1imVtppPmFBmcgr,scenario1,7,Strongly Disagree,Strongly Disagree,Strongly Disagree,See traveling exhibits,Strongly Disagree,7.848
R_1imVtppPmFBmcgr,scenario1,8,Strongly Disagree,Strongly Disagree,Strongly Disagree,Learn about artists,Strongly Disagree,5.253
R_1JQsNRgY0ZZKmfX,scenario1,1,Strongly Disagree,Strongly Disagree,Disagree,Look at historical exhibits.,Strongly Disagree,14
R_1JQsNRgY0ZZKmfX,scenario1,2,Disagree,Disagree,Neutral,Use the restroom.,Disagree,7.552
R_1JQsNRgY0ZZKmfX,scenario1,3,Somewhat Disagree,Disagree,Somewhat Agree,Take selfies in the exhibits.,Neutral,14.753
R_1JQsNRgY0ZZKmfX,scenario1,4,Strongly Disagree,Disagree,Agree,Meet some history buffs who are also there.,Somewhat Disagree,19.204
R_1JQsNRgY0ZZKmfX,scenario1,5,Disagree,Somewhat Disagree,Agree,Talk to the security guards.,Somewhat Disagree,8.315
R_1JQsNRgY0ZZKmfX,scenario1,6,Somewhat Agree,Agree,Agree,Run through the hallways between exhibits.,Agree,15.369
R_1JQsNRgY0ZZKmfX,scenario1,7,Somewhat Agree,Somewhat Agree,Agree,Argue with my wife over which exhibits are better.,Somewhat Disagree,16.599
R_1JQsNRgY0ZZKmfX,scenario1,8,Strongly Disagree,Strongly Disagree,Strongly Disagree,Learn about history.,Strongly Disagree,5.374
R_1LO4n3To983qGbQ,scenario1,1,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Worry about my backpack,Somewhat Agree,7.987
R_1LO4n3To983qGbQ,scenario1,2,Strongly Disagree,Disagree,Agree,spend less time there,Somewhat Agree,8.143
R_1LO4n3To983qGbQ,scenario1,3,Strongly Disagree,Strongly Disagree,Somewhat Agree,forget where you left your bag,Disagree,15.721
R_1LO4n3To983qGbQ,scenario1,4,Strongly Disagree,Strongly Disagree,Disagree,not worry about losing your bag since its checked in,Disagree,18.903
R_1LO4n3To983qGbQ,scenario1,5,Strongly Disagree,Strongly Disagree,Disagree,spend longer than you planned,Disagree,10.114
R_1LO4n3To983qGbQ,scenario1,6,Strongly Disagree,Strongly Disagree,Disagree,enjoy yourself more,Disagree,7.14
R_1LO4n3To983qGbQ,scenario1,7,Strongly Disagree,Strongly Disagree,Somewhat Disagree,get distracted ,Disagree,12.937
R_1LO4n3To983qGbQ,scenario1,8,Strongly Disagree,Strongly Disagree,Disagree,eat something,Disagree,11.686
R_1mrdT8hIWdQtg8h,scenario1,1,Strongly Disagree,Strongly Disagree,Strongly Disagree,view art,Strongly Disagree,4.544
R_1mrdT8hIWdQtg8h,scenario1,2,Strongly Disagree,Strongly Disagree,Disagree,sit down,Strongly Disagree,4.374
R_1mrdT8hIWdQtg8h,scenario1,3,Strongly Disagree,Strongly Disagree,Strongly Disagree,read,Strongly Disagree,4.723
R_1mrdT8hIWdQtg8h,scenario1,4,Strongly Disagree,Strongly Disagree,Strongly Disagree,walk,Strongly Disagree,3.42
R_1mrdT8hIWdQtg8h,scenario1,5,Strongly Disagree,Strongly Disagree,Disagree,gift shop,Strongly Disagree,5.067
R_1mrdT8hIWdQtg8h,scenario1,6,Strongly Disagree,Strongly Disagree,Disagree,buy stuff,Strongly Disagree,4.165
R_1mrdT8hIWdQtg8h,scenario1,7,Strongly Disagree,Strongly Disagree,Strongly Disagree,bathroom break,Strongly Disagree,6.735
R_1mrdT8hIWdQtg8h,scenario1,8,Strongly Disagree,Strongly Disagree,Strongly Disagree,wash hands,Strongly Disagree,2.76
R_1MXmDtVDFsdHn2i,scenario1,1,Strongly Disagree,Strongly Disagree,Strongly Disagree,take my coat to the coat check and go see an exhibit,Strongly Disagree,23.447
R_1MXmDtVDFsdHn2i,scenario1,2,Strongly Disagree,Strongly Disagree,Strongly Disagree,walk around and find an exhibit that interests me,Strongly Disagree,19.781
R_1MXmDtVDFsdHn2i,scenario1,3,Strongly Disagree,Strongly Disagree,Strongly Disagree,take photo of an interesting exhibit,Strongly Disagree,11.801
R_1MXmDtVDFsdHn2i,scenario1,4,Strongly Disagree,Strongly Disagree,Strongly Disagree,film something interesting that I see,Strongly Disagree,13.074
R_1MXmDtVDFsdHn2i,scenario1,5,Strongly Disagree,Strongly Disagree,Strongly Disagree,Find out new information about something that interests me,Strongly Disagree,16.631
