"","trialNo","target","condition1.x","mean_fast","mean_slow","sd_fast","sd_slow","N_fast","N_slow","se_fast","se_slow","condition1.y","mean_acceptibility","mean_morality","sd_acceptibility","sd_morality","N_acceptibility","N_morality","se_acceptibility","se_morality","FminusS"
"1",1,"<b>In the museum,</b><br> <br>you admire your favorite painting.","ordinary",0.0617283950617284,0.0357142857142857,0.242161052418926,0.188982236504614,81,28,0.0269067836021029,0.0357142857142857,"ordinary",1.11538461538462,1.18181818181818,0.431455497304005,0.664498639244989,26,22,0.0846153846153846,0.14167158590436,0.0260141093474427
"2",2,"<b>In the museum,</b><br> <br>you read the placard by an exhibit.","ordinary",0.0921052631578947,0.0408163265306122,0.291095932821575,0.199914947901746,76,49,0.0333909935274987,0.028559278271678,"ordinary",1.33333333333333,1.27272727272727,1.07417231105915,0.55048188256318,27,22,0.206724557648681,0.117363131703255,0.0512889366272825
"3",3,"<b>In the museum,</b><br> <br>you discuss an exhibit with a friend.","ordinary",0.141025641025641,0.0571428571428571,0.35030076036261,0.235504107976803,78,35,0.0396637506001973,0.0398074597725278,"ordinary",1.18518518518519,1.45454545454545,0.483340701387989,1.10096376512636,27,22,0.0930189613522194,0.23472626340651,0.0838827838827839
"4",4,"<b>In the museum,</b><br> <br>you rest on a bench for a moment.","ordinary",0.0666666666666667,0.0476190476190476,0.251123601166961,0.215540268704521,75,42,0.0289972557467227,0.0332585855128371,"ordinary",1.23076923076923,1.31818181818182,0.514407799916938,0.56790036318955,26,22,0.100883669604646,0.121076764250623,0.019047619047619
"5",5,"<b>In the museum,</b><br> <br>you have a conversation with a painting.","impossible",0.263888888888889,0.566037735849057,0.443832716728031,0.500362713141644,72,53,0.0523061872851398,0.0687301044560324,"impossible",4.19230769230769,2.4,0.895286804068094,1.27320565172283,26,20,0.175580187854051,0.284697438658916,-0.302148846960168
"6",6,"<b>In the museum,</b><br> <br>you levitate above the other patrons.","impossible",0.935897435897436,1,0.246520913458799,0,78,31,0.0279129968745746,0,"impossible",4.44444444444444,3.16666666666667,1.13038833052088,1.47196014438797,9,6,0.376796110173626,0.600925212577332,-0.0641025641025641
"7",7,"<b>In the museum,</b><br> <br>you transform into a very large seal.","impossible",0.921052631578947,0.973684210526316,0.271448357015318,0.162221421130763,76,38,0.0311372620163138,0.0263157894736842,"impossible",4.375,4.5,1.40788595317336,0.707106781186548,8,2,0.497762852313084,0.5,-0.0526315789473685
"8",8,"<b>In the museum,</b><br> <br>you teleport back to your apartment.","impossible",0.961538461538462,0.92,0.193552415284691,0.276887462097269,78,25,0.0219154954730073,0.0553774924194538,"impossible",4,3,1.4142135623731,2,5,3,0.632455532033676,1.15470053837925,0.0415384615384615
"9",9,"<b>In the museum,</b><br> <br>you ignore the guard and bring your bag.","abnormal",0.347826086956522,0.235294117647059,0.479769765755401,0.427336319675891,69,68,0.0577574925352236,0.0518221406966592,"abnormal",4.66666666666667,4.31818181818182,0.832050294337844,0.945483682534709,27,22,0.160128153805087,0.20157779841894,0.112531969309463
"10",10,"<b>In the museum,</b><br> <br>you crabwalk through the main exhibit.","abnormal",0.591549295774648,0.298245614035088,0.495045879222534,0.461554527064391,71,57,0.0587511369425752,0.061134390564664,"abnormal",4.5,4,0.860232526704263,0.973328526784575,26,20,0.168705478457395,0.217642875033003,0.29330368173956
"11",11,"<b>In the museum,</b><br> <br>you secretly adjust a painting.","abnormal",0.318840579710145,0.253968253968254,0.469441270623243,0.438775935480263,69,63,0.0565140878376465,0.0552805717409761,"abnormal",3.92592592592593,4,1.32798070902132,1.30930734141595,27,22,0.255570006610696,0.279145263119541,0.0648723257418909
"12",12,"<b>In the museum,</b><br> <br>you stand on a bench for a better view.","abnormal",0.102564102564103,0.0847457627118644,0.30535240827623,0.280893622840437,78,59,0.0345743519211919,0.0365692348590547,"abnormal",4.28,3.45454545454545,1.02143689640297,1.14339814035152,25,22,0.204287379280594,0.243773302602616,0.0178183398522382
"13",13,"<b>In the museum,</b><br> <br>you rip a painting into small pieces.","immoral",0.506666666666667,0.44,0.503322295684717,0.501426536422407,75,50,0.0581186525805423,0.0709124208342335,"immoral",4.85185185185185,5,0.601517549056852,0,27,22,0.115762106290086,0,0.0666666666666667
"14",14,"<b>In the museum,</b><br> <br>you steal your favorite sculpture.","immoral",0.589041095890411,0.51219512195122,0.495412747064847,0.506060827347474,73,41,0.0579836762520561,0.0790334231513154,"immoral",4.88888888888889,5,0.423659272868162,0,27,22,0.0815332650783714,0,0.0768459739391915
"15",15,"<b>In the museum,</b><br> <br>you break the arm of a security guard.","immoral",0.569620253164557,0.404255319148936,0.498293094262482,0.496052875341062,79,47,0.0560623531469709,0.0723567484441301,"immoral",4.92307692307692,5,0.271746488194703,0,26,22,0.0532938710021193,0,0.165364934015621
"16",16,"<b>In the museum,</b><br> <br>you throw an exhibit out the window.","immoral",0.608108108108108,0.568965517241379,0.49150502910142,0.499546073442513,74,58,0.0571362990637523,0.0655936129528174,"immoral",4.88,4.95238095238095,0.6,0.218217890235992,25,21,0.12,0.0476190476190476,0.0391425908667288
"17",17,"<b>In the restaurant,</b><br> <br> you wait in line for your food.","ordinary",0.0337078651685393,0,0.181498697857036,0,89,29,0.0192388234952373,0,"ordinary",1.28571428571429,1,0.854493259282208,0,28,22,0.161484047217268,0,0.0337078651685393
"18",18,"<b>In the restaurant,</b><br> <br> you make a salad at the salad bar.","ordinary",0.0602409638554217,0.105263157894737,0.239379155844276,0.311011747775905,83,38,0.0262752758982037,0.0504527677125696,"ordinary",1.11111111111111,1.27272727272727,0.423659272868162,0.88273482950475,27,22,0.0815332650783714,0.18819969800246,-0.0450221940393151
"19",19,"<b>In the restaurant,</b><br> <br> you take a bite of your meal.","ordinary",0.0238095238095238,0,0.153370994900858,0,84,25,0.0167341474653302,0,"ordinary",1.14814814814815,1.04545454545455,0.456045181947149,0.21320071635561,27,22,0.0877659361866061,0.0454545454545455,0.0238095238095238
"20",20,"<b>In the restaurant,</b><br> <br> you thank a dining hall employee.","ordinary",0.109756097560976,0,0.314509124128206,0,82,43,0.0347317225419412,0,"ordinary",1.11111111111111,1.09090909090909,0.320256307610174,0.29424494316825,27,22,0.0616333551361366,0.0627332326674867,0.109756097560976
"21",21,"<b>In the restaurant,</b><br> <br> you eat one-hundred veggie pizzas.","impossible",0.647058823529412,0.859375,0.481437706401216,0.350382444113368,68,64,0.0583828975190388,0.0437978055141709,"impossible",4.19047619047619,2.86666666666667,1.20909253653505,1.64171803158706,21,15,0.263845622422763,0.423889773033674,-0.212316176470588
"22",22,"<b>In the restaurant,</b><br> <br> you read the minds of fellow diners.","impossible",0.833333333333333,0.864864864864865,0.375090176747726,0.346583496606691,78,37,0.0424705992864688,0.0569779758588897,"impossible",3.44444444444444,3.9,1.13038833052088,1.19721899973786,9,10,0.376796110173626,0.378593889720018,-0.0315315315315315
"23",23,"<b>In the restaurant,</b><br> <br> you grow another head on your back.","impossible",0.911392405063291,0.971428571428571,0.285992353211451,0.169030850945703,79,35,0.0321766536355566,0.0285714285714286,"impossible",3.6,4.6,1.94935886896179,0.894427190999916,5,5,0.871779788708135,0.4,-0.0600361663652803
