"","trialNo","target","condition1.x","condition3","mean","sd","N","se","condition1.y","mean_acceptibility","mean_morality","sd_acceptibility","sd_morality","N_acceptibility","N_morality","se_acceptibility","se_morality"
"1",1,"<b>In the museum,</b><br> <br>you admire your favorite painting.","ordinary","fast",0.0617283950617284,0.242161052418926,81,0.0269067836021029,"ordinary",1.11538461538462,1.18181818181818,0.431455497304005,0.664498639244989,26,22,0.0846153846153846,0.14167158590436
"2",1,"<b>In the museum,</b><br> <br>you admire your favorite painting.","ordinary","slow",0.0357142857142857,0.188982236504614,28,0.0357142857142857,"ordinary",1.11538461538462,1.18181818181818,0.431455497304005,0.664498639244989,26,22,0.0846153846153846,0.14167158590436
"3",2,"<b>In the museum,</b><br> <br>you read the placard by an exhibit.","ordinary","fast",0.0921052631578947,0.291095932821575,76,0.0333909935274987,"ordinary",1.33333333333333,1.27272727272727,1.07417231105915,0.55048188256318,27,22,0.206724557648681,0.117363131703255
"4",2,"<b>In the museum,</b><br> <br>you read the placard by an exhibit.","ordinary","slow",0.0408163265306122,0.199914947901746,49,0.028559278271678,"ordinary",1.33333333333333,1.27272727272727,1.07417231105915,0.55048188256318,27,22,0.206724557648681,0.117363131703255
"5",3,"<b>In the museum,</b><br> <br>you discuss an exhibit with a friend.","ordinary","fast",0.141025641025641,0.35030076036261,78,0.0396637506001973,"ordinary",1.18518518518519,1.45454545454545,0.483340701387989,1.10096376512636,27,22,0.0930189613522194,0.23472626340651
"6",3,"<b>In the museum,</b><br> <br>you discuss an exhibit with a friend.","ordinary","slow",0.0571428571428571,0.235504107976803,35,0.0398074597725278,"ordinary",1.18518518518519,1.45454545454545,0.483340701387989,1.10096376512636,27,22,0.0930189613522194,0.23472626340651
"7",4,"<b>In the museum,</b><br> <br>you rest on a bench for a moment.","ordinary","fast",0.0666666666666667,0.251123601166961,75,0.0289972557467227,"ordinary",1.23076923076923,1.31818181818182,0.514407799916938,0.56790036318955,26,22,0.100883669604646,0.121076764250623
"8",4,"<b>In the museum,</b><br> <br>you rest on a bench for a moment.","ordinary","slow",0.0476190476190476,0.215540268704521,42,0.0332585855128371,"ordinary",1.23076923076923,1.31818181818182,0.514407799916938,0.56790036318955,26,22,0.100883669604646,0.121076764250623
"9",5,"<b>In the museum,</b><br> <br>you have a conversation with a painting.","impossible","fast",0.263888888888889,0.443832716728031,72,0.0523061872851398,"impossible",4.19230769230769,2.4,0.895286804068094,1.27320565172283,26,20,0.175580187854051,0.284697438658916
"10",5,"<b>In the museum,</b><br> <br>you have a conversation with a painting.","impossible","slow",0.566037735849057,0.500362713141644,53,0.0687301044560324,"impossible",4.19230769230769,2.4,0.895286804068094,1.27320565172283,26,20,0.175580187854051,0.284697438658916
"11",6,"<b>In the museum,</b><br> <br>you levitate above the other patrons.","impossible","fast",0.935897435897436,0.246520913458799,78,0.0279129968745746,"impossible",4.44444444444444,3.16666666666667,1.13038833052088,1.47196014438797,9,6,0.376796110173626,0.600925212577332
"12",6,"<b>In the museum,</b><br> <br>you levitate above the other patrons.","impossible","slow",1,0,31,0,"impossible",4.44444444444444,3.16666666666667,1.13038833052088,1.47196014438797,9,6,0.376796110173626,0.600925212577332
"13",7,"<b>In the museum,</b><br> <br>you transform into a very large seal.","impossible","fast",0.921052631578947,0.271448357015318,76,0.0311372620163138,"impossible",4.375,4.5,1.40788595317336,0.707106781186548,8,2,0.497762852313084,0.5
"14",7,"<b>In the museum,</b><br> <br>you transform into a very large seal.","impossible","slow",0.973684210526316,0.162221421130763,38,0.0263157894736842,"impossible",4.375,4.5,1.40788595317336,0.707106781186548,8,2,0.497762852313084,0.5
"15",8,"<b>In the museum,</b><br> <br>you teleport back to your apartment.","impossible","fast",0.961538461538462,0.193552415284691,78,0.0219154954730073,"impossible",4,3,1.4142135623731,2,5,3,0.632455532033676,1.15470053837925
"16",8,"<b>In the museum,</b><br> <br>you teleport back to your apartment.","impossible","slow",0.92,0.276887462097269,25,0.0553774924194538,"impossible",4,3,1.4142135623731,2,5,3,0.632455532033676,1.15470053837925
"17",9,"<b>In the museum,</b><br> <br>you ignore the guard and bring your bag.","abnormal","fast",0.347826086956522,0.479769765755401,69,0.0577574925352236,"abnormal",4.66666666666667,4.31818181818182,0.832050294337844,0.945483682534709,27,22,0.160128153805087,0.20157779841894
