"id","target","response","RT"
"62cd9290653f1ada1c0575e7","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",7646
"62cd9290653f1ada1c0575e7","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",5202
"62cd9290653f1ada1c0575e7","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",5025
"61017e76a0494146f7fdff65","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",8338
"61017e76a0494146f7fdff65","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",9442
"61017e76a0494146f7fdff65","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",6146
"5b0481d17ac6e4000107e12a","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",11668
"5b0481d17ac6e4000107e12a","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",7275
"5b0481d17ac6e4000107e12a","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",7578
"5c0727ff1d461400012b61ee","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",7979
"5c0727ff1d461400012b61ee","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",6794
"5c0727ff1d461400012b61ee","<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",4476
