"id","Year.of.graduation.","target","response","RT"
"5334",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",8150
"5334",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",3621
"5334",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",4764
"5461",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",5224
"5461",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",6718
"5461",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",4614
"6232",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",5907
"6232",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",6288
"6232",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",5169
"6319",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",9450
"6319",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",6516
"6319",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",9470
"6215",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",10555
"6215",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",4870
"6215",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",5791
"6295",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",9283
"6295",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",5395
"6295",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",5199
"6306",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",5199
"6306",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",3928
"6306",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",7459
"5749",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",7474
"5749",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",4768
"5749",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",8072
"6282",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",8535
"6282",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",2406
"6282",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",2140
"6333",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","1;1",36648
"6333",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",6704
"6333",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",10403
"6299",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",5047
"6299",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",4166
"6299",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",4642
"6104",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",5049
"6104",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",4405
"6104",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",3125
"6345",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",6911
"6345",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",3588
"6345",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",6462
"6327",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",9140
"6327",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",3940
"6327",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",7668
"6328",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",11244
"6328",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",6188
"6328",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",8069
"6340",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",8961
"6340",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",10550
"6340",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",17545
"6353",2024,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",17807
"6353",2024,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",8259
"6353",2024,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",6390
"6334",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",12150
"6334",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",5802
"6334",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",17246167
"6107",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",6970
"6107",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","2;1",4579
"6107",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",6055
"6346",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",7461
"6346",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",8787
"6346",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",4330
"6296",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",9548
"6296",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",5885
"6296",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",5963
"6106",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",7301
"6106",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",5221
"6106",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",3461
"6338",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",8454
"6338",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",4632
"6338",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",6148
"6315",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",12560
"6315",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",8537
"6315",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",11291
"6297",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",10363
"6297",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",5216
"6297",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",12032
"6342",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",5241
"6342",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",4559
"6342",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",3628
NA,NA,NA,NA,NA
"6329",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",5684
"6329",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",6687
"6329",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","7;1",4939
"6305",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",11974
"6305",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",4653
"6305",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",7687
"6356",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",7953
"6356",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",5979
"6356",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","6;1",7759
"6324",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","1;1",6249
"6324",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",3745
"6324",2026,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 3</b><br>You have completed the third part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","4;1",4675
"5630",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 1</b><br>You have completed the first part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","3;1",95571
"5630",2025,"<p style=""font-size:20px; padding: 0px; margin: 0px""><b>End of Part 2</b><br>You have completed the second part of the experiment - well done! Please tell us how confident were you in your responses in this part. (1 = not confident at all, 7 = completely confident)</p>","5;1",3384
