"id","condition1","condition2","condition3","trialNo","target","response","RT","group"
"62cd9290653f1ada1c0575e7","abnormal3","scenario2","fast",48,"Ask and answer questions in gibberish",0,1687,"prolific"
"62cd9290653f1ada1c0575e7","abnormal2","scenario2","fast",43,"Greet a classmate that you don't know",1,1173,"prolific"
"62cd9290653f1ada1c0575e7","immoral","scenario2","fast",53,"Bribe a classmate to do homework for you",1,937,"prolific"
"62cd9290653f1ada1c0575e7","abnormal3","scenario2","fast",47,"Jump up and down in the middle of the class",0,1313,"prolific"
"62cd9290653f1ada1c0575e7","improbable","scenario2","fast",28,"Be the sixth person to answer a question",1,1575,"prolific"
"62cd9290653f1ada1c0575e7","abnormal4","scenario2","fast",49,"Leave the room to answer a phone call",1,925,"prolific"
"62cd9290653f1ada1c0575e7","improbable","scenario2","fast",30,"Sit next to someone born on Februrary 25th",0,1465,"prolific"
"62cd9290653f1ada1c0575e7","immoral","scenario2","fast",52,"Look up answers online during an exam",1,1736,"prolific"
"62cd9290653f1ada1c0575e7","impossible","scenario2","fast",32,"Move your fountain pen with your mind",0,1349,"prolific"
"62cd9290653f1ada1c0575e7","improbable","scenario2","fast",29,"Recognize your neighbor's laptop wallpaper",1,1480,"prolific"
"62cd9290653f1ada1c0575e7","abnormal1","scenario2","fast",40,"Greet everyone in the class individually",0,1567,"prolific"
"62cd9290653f1ada1c0575e7","normal1","scenario2","fast",35,"Take notes with a pencil and a notebook",1,1128,"prolific"
"62cd9290653f1ada1c0575e7","normal2","scenario2","fast",37,"Watch the professor struggle with Zoom",1,1314,"prolific"
"62cd9290653f1ada1c0575e7","normal1","scenario2","fast",36,"Reference relevant papers you have read",1,1574,"prolific"
"62cd9290653f1ada1c0575e7","abnormal3","scenario2","fast",46,"Gossip with the person sitting next to you",1,785,"prolific"
"62cd9290653f1ada1c0575e7","impossible","scenario2","fast",31,"Let a flying carpet take you to your seat",0,1640,"prolific"
"62cd9290653f1ada1c0575e7","abnormal4","scenario2","fast",50,"Report a classmate for cheating on a quiz",1,1552,"prolific"
"62cd9290653f1ada1c0575e7","abnormal1","scenario2","fast",42,"Volunteer to answer every single question",1,1147,"prolific"
"62cd9290653f1ada1c0575e7","impossible","scenario2","fast",33,"Take a seat in the nine-hundredth row",0,1366,"prolific"
"62cd9290653f1ada1c0575e7","abnormal2","scenario2","fast",45,"Clean the chalkboard after writing on it",1,719,"prolific"
"62cd9290653f1ada1c0575e7","abnormal2","scenario2","fast",44,"Keep a physical copy of every reading",1,1090,"prolific"
"62cd9290653f1ada1c0575e7","normal1","scenario2","fast",34,"Answer a question when being called upon",1,903,"prolific"
"62cd9290653f1ada1c0575e7","abnormal1","scenario2","fast",41,"Sit facing the back for the entire period",0,1515,"prolific"
"62cd9290653f1ada1c0575e7","immoral","scenario2","fast",54,"Assault a classmate for differing opinions",0,1401,"prolific"
"62cd9290653f1ada1c0575e7","abnormal3","scenario5","fast",129,"Argue with the server about food price",1,1241,"prolific"
"62cd9290653f1ada1c0575e7","normal1","scenario5","fast",117,"Try out a newly opened restaurant in town",1,724,"prolific"
"62cd9290653f1ada1c0575e7","immoral","scenario5","fast",135,"Trip over a passing server with your napkin",1,1646,"prolific"
"62cd9290653f1ada1c0575e7","immoral","scenario5","fast",134,"Fight a child for a table by the window",1,1343,"prolific"
"62cd9290653f1ada1c0575e7","improbable","scenario5","fast",110,"Get a four-course dinner from Pine for free",0,1418,"prolific"
"62cd9290653f1ada1c0575e7","abnormal3","scenario5","fast",128,"Walk into a restaurant in your pajamas",1,933,"prolific"
"62cd9290653f1ada1c0575e7","abnormal2","scenario5","fast",124,"Check Google Reviews before heading out",1,772,"prolific"
"62cd9290653f1ada1c0575e7","abnormal2","scenario5","fast",125,"Read the menu before entering a restaurant",1,758,"prolific"
"62cd9290653f1ada1c0575e7","abnormal4","scenario5","fast",132,"Go to Lou's Restaurant for a lavish dinner",1,920,"prolific"
"62cd9290653f1ada1c0575e7","improbable","scenario5","fast",109,"Run into Phil Hanlon in Molly's Restaurant",0,1243,"prolific"
"62cd9290653f1ada1c0575e7","impossible","scenario5","fast",112,"Enter a restaurant through the chimney",0,1067,"prolific"
"62cd9290653f1ada1c0575e7","abnormal1","scenario5","fast",122,"Pick a restaurant for the color of its walls",1,1098,"prolific"
"62cd9290653f1ada1c0575e7","normal2","scenario5","fast",120,"Get drunk with friends at Dunk's sports bar",1,1454,"prolific"
"62cd9290653f1ada1c0575e7","abnormal3","scenario5","fast",127,"Order a bowl of rice noodles at Domino's",1,931,"prolific"
"62cd9290653f1ada1c0575e7","impossible","scenario5","fast",114,"Turn invisible to sneak into the kitchen",0,1422,"prolific"
"62cd9290653f1ada1c0575e7","improbable","scenario5","fast",111,"Pick the eighth restaurant you pass by",1,1119,"prolific"
"62cd9290653f1ada1c0575e7","immoral","scenario5","fast",133,"Refuse to pay for the food you have eaten",1,1296,"prolific"
"62cd9290653f1ada1c0575e7","abnormal1","scenario5","fast",123,"Eat only the food on the left side of a dish",1,1664,"prolific"
"62cd9290653f1ada1c0575e7","normal1","scenario5","fast",115,"Pick up the food that you have ordered",1,1037,"prolific"
"62cd9290653f1ada1c0575e7","abnormal1","scenario5","fast",121,"Take three hours to decide what to order",1,932,"prolific"
"62cd9290653f1ada1c0575e7","abnormal4","scenario5","fast",130,"Get drunk with a group of friends at Pine",1,1135,"prolific"
"62cd9290653f1ada1c0575e7","normal2","scenario5","fast",118,"Use Snackpass to get food with a discount",1,1236,"prolific"
"62cd9290653f1ada1c0575e7","normal1","scenario5","fast",116,"Order pizza and chicken wings at Domino's",1,713,"prolific"
"62cd9290653f1ada1c0575e7","abnormal2","scenario5","fast",126,"Pay for the food your friends have ordered",1,734,"prolific"
"62cd9290653f1ada1c0575e7","abnormal4","scenario5","fast",131,"Pick a table freely at Molly's Restaurant",1,807,"prolific"
"62cd9290653f1ada1c0575e7","normal2","scenario5","fast",119,"Send Snackpass gift points to a friend",0,1298,"prolific"
"62cd9290653f1ada1c0575e7","abnormal3","scenario6","fast",155,"Sleep in a sleeping bag in the hallway",1,831,"prolific"
"62cd9290653f1ada1c0575e7","normal2","scenario6","fast",145,"Drink the tap water from the restrooms",1,845,"prolific"
"62cd9290653f1ada1c0575e7","abnormal3","scenario6","fast",154,"Join a dorm party you are not invited to",1,710,"prolific"
"62cd9290653f1ada1c0575e7","normal2","scenario6","fast",147,"Leave the windows open all day in winter",1,787,"prolific"
"62cd9290653f1ada1c0575e7","abnormal4","scenario6","fast",158,"Pay for the washing machine with quarters",1,866,"prolific"
"62cd9290653f1ada1c0575e7","normal1","scenario6","fast",144,"Watch some Youtube videos lying in bed",1,726,"prolific"
"62cd9290653f1ada1c0575e7","improbable","scenario6","fast",138,"Walk through the hallway in exactly 47 steps",1,1106,"prolific"
"62cd9290653f1ada1c0575e7","abnormal1","scenario6","fast",150,"Walk up and down the hallway for an hour",1,768,"prolific"
"62cd9290653f1ada1c0575e7","normal2","scenario6","fast",146,"Storm a club member's room as a prank",1,1312,"prolific"
"62cd9290653f1ada1c0575e7","impossible","scenario6","fast",140,"Build a life-size windmill inside your room",0,1165,"prolific"
"62cd9290653f1ada1c0575e7","improbable","scenario6","fast",136,"Live in a four-room apartment by yourself",1,1382,"prolific"
"62cd9290653f1ada1c0575e7","immoral","scenario6","fast",161,"Set off the fire alarm at midnight for fun",0,1528,"prolific"
"62cd9290653f1ada1c0575e7","abnormal3","scenario6","fast",156,"Fill the shared kitchen with your groceries",1,1330,"prolific"
"62cd9290653f1ada1c0575e7","abnormal4","scenario6","fast",157,"Hold a floor party in the common room",1,918,"prolific"
"62cd9290653f1ada1c0575e7","abnormal2","scenario6","fast",151,"Lock your room every time you head out",1,986,"prolific"
"62cd9290653f1ada1c0575e7","abnormal2","scenario6","fast",153,"Remind your floor to go to the floor meeting",1,979,"prolific"
"62cd9290653f1ada1c0575e7","improbable","scenario6","fast",137,"Hear twenty alarm clocks go off at once",1,1475,"prolific"
"62cd9290653f1ada1c0575e7","normal1","scenario6","fast",142,"Enter the building with your Student ID",1,961,"prolific"
"62cd9290653f1ada1c0575e7","normal1","scenario6","fast",143,"Do laundry in the basement on a weekend",1,722,"prolific"
"62cd9290653f1ada1c0575e7","immoral","scenario6","fast",160,"Enter someone's room without permission",1,986,"prolific"
"62cd9290653f1ada1c0575e7","immoral","scenario6","fast",162,"Steal someone's clothes while they shower",1,1296,"prolific"
"62cd9290653f1ada1c0575e7","abnormal1","scenario6","fast",149,"Take the elevator to the second floor",1,1126,"prolific"
"62cd9290653f1ada1c0575e7","impossible","scenario6","fast",139,"Live with a hundred roommates in one room",1,727,"prolific"
