"id","condition1","condition2","condition3","trialNo","target","response","RT","group"
"5334","normal2","scenario4","fast",91,"Cross the road without looking out for cars",0,1672,"dartmouth"
"5334","abnormal3","scenario4","fast",100,"Walk across campus with your eyes closed",0,1474,"dartmouth"
"5334","abnormal4","scenario4","fast",105,"Look out for two-way traffic by Dartmouth Hall",1,1579,"dartmouth"
"5334","normal2","scenario4","fast",93,"Finish your lunch while you are walking",1,1168,"dartmouth"
"5334","abnormal3","scenario4","fast",101,"Pour a cup of iced tea onto the grass",1,1162,"dartmouth"
"5334","abnormal1","scenario4","fast",94,"Greet and smile at a stranger cordially",1,900,"dartmouth"
"5334","abnormal1","scenario4","fast",96,"Walk across the Green with one shoe on",0,1174,"dartmouth"
"5334","normal1","scenario4","fast",88,"Cross the road when no car is passing",1,1432,"dartmouth"
"5334","abnormal4","scenario4","fast",104,"Park your car on any side of the Green",1,1101,"dartmouth"
"5334","improbable","scenario4","fast",82,"Listen to exactly 4.35 songs on your way",1,1417,"dartmouth"
"5334","improbable","scenario4","fast",84,"Spot a dragon-shaped cloud in the sky",0,1550,"dartmouth"
"5334","normal1","scenario4","fast",89,"Walk on the footpath across the Green",0,1729,"dartmouth"
"5334","abnormal1","scenario4","fast",95,"listen to music through a loudspeaker",0,1466,"dartmouth"
"5334","abnormal2","scenario4","fast",97,"Smile to the people walking toward you",1,1045,"dartmouth"
"5334","immoral","scenario4","fast",108,"Ride away an unlocked bike on the sidewalk",1,1201,"dartmouth"
"5334","normal2","scenario4","fast",92,"Cross the Green by walking on the grass",1,1518,"dartmouth"
"5334","impossible","scenario4","fast",87,"Teleport the classroom to where you are",0,1054,"dartmouth"
"5334","immoral","scenario4","fast",106,"Smash the window of a car parked nearby",0,1223,"dartmouth"
"5334","improbable","scenario4","fast",83,"Run to your destination at record speed",0,1098,"dartmouth"
"5334","normal1","scenario4","fast",90,"Adjust your pace according to the time",1,1168,"dartmouth"
"5334","impossible","scenario4","fast",85,"Grow a pair of wings and fly to class",0,915,"dartmouth"
"5334","abnormal3","scenario4","fast",102,"Poke at the person walking in front of you",0,1110,"dartmouth"
"5334","abnormal2","scenario4","fast",98,"Sit down on a bench and rest for a while",1,1226,"dartmouth"
"5334","normal2","scenario2","fast",38,"Pet the professor's dog who has wandered in",1,1350,"dartmouth"
"5334","abnormal1","scenario2","fast",42,"Volunteer to answer every single question",0,1179,"dartmouth"
"5334","abnormal1","scenario2","fast",40,"Greet everyone in the class individually",0,1227,"dartmouth"
"5334","abnormal3","scenario2","fast",48,"Ask and answer questions in gibberish",0,1017,"dartmouth"
"5334","immoral","scenario2","fast",52,"Look up answers online during an exam",1,1098,"dartmouth"
"5334","improbable","scenario2","fast",29,"Recognize your neighbor's laptop wallpaper",1,1289,"dartmouth"
"5334","impossible","scenario2","fast",31,"Let a flying carpet take you to your seat",0,1160,"dartmouth"
"5334","normal1","scenario2","fast",34,"Answer a question when being called upon",1,1043,"dartmouth"
"5334","abnormal2","scenario2","fast",45,"Clean the chalkboard after writing on it",1,1293,"dartmouth"
"5334","normal1","scenario2","fast",36,"Reference relevant papers you have read",1,1003,"dartmouth"
"5334","abnormal4","scenario2","fast",50,"Report a classmate for cheating on a quiz",0,869,"dartmouth"
"5334","abnormal2","scenario2","fast",43,"Greet a classmate that you don't know",1,1330,"dartmouth"
"5334","immoral","scenario2","fast",54,"Assault a classmate for differing opinions",0,1201,"dartmouth"
"5334","immoral","scenario2","fast",53,"Bribe a classmate to do homework for you",0,1534,"dartmouth"
"5334","abnormal1","scenario2","fast",41,"Sit facing the back for the entire period",0,1166,"dartmouth"
"5334","abnormal3","scenario2","fast",46,"Gossip with the person sitting next to you",1,1166,"dartmouth"
"5334","normal2","scenario2","fast",37,"Watch the professor struggle with Zoom",1,1357,"dartmouth"
"5334","impossible","scenario2","fast",33,"Take a seat in the nine-hundredth row",0,1396,"dartmouth"
"5334","improbable","scenario2","fast",30,"Sit next to someone born on Februrary 25th",1,1355,"dartmouth"
"5334","normal1","scenario2","fast",35,"Take notes with a pencil and a notebook",1,1437,"dartmouth"
"5334","abnormal4","scenario2","fast",49,"Leave the room to answer a phone call",0,1292,"dartmouth"
"5334","abnormal3","scenario2","fast",47,"Jump up and down in the middle of the class",0,1423,"dartmouth"
"5334","normal2","scenario2","fast",39,"Step outside during a triggering topic",1,1375,"dartmouth"
"5334","abnormal4","scenario2","fast",51,"Get full mark on an exam without studying",1,1444,"dartmouth"
"5334","abnormal2","scenario2","fast",44,"Keep a physical copy of every reading",1,1734,"dartmouth"
"5334","improbable","scenario2","fast",28,"Be the sixth person to answer a question",1,1219,"dartmouth"
"5334","improbable","scenario5","fast",111,"Pick the eighth restaurant you pass by",0,1315,"dartmouth"
"5334","impossible","scenario5","fast",112,"Enter a restaurant through the chimney",0,1149,"dartmouth"
"5334","abnormal1","scenario5","fast",121,"Take three hours to decide what to order",0,886,"dartmouth"
"5334","normal2","scenario5","fast",118,"Use Snackpass to get food with a discount",1,1427,"dartmouth"
"5334","abnormal4","scenario5","fast",132,"Go to Lou's Restaurant for a lavish dinner",1,1119,"dartmouth"
"5334","immoral","scenario5","fast",134,"Fight a child for a table by the window",0,1043,"dartmouth"
"5334","impossible","scenario5","fast",114,"Turn invisible to sneak into the kitchen",0,1314,"dartmouth"
"5334","abnormal4","scenario5","fast",130,"Get drunk with a group of friends at Pine",1,1407,"dartmouth"
"5334","improbable","scenario5","fast",109,"Run into Phil Hanlon in Molly's Restaurant",1,1097,"dartmouth"
"5334","abnormal2","scenario5","fast",124,"Check Google Reviews before heading out",1,955,"dartmouth"
"5334","abnormal1","scenario5","fast",122,"Pick a restaurant for the color of its walls",0,1361,"dartmouth"
"5334","abnormal1","scenario5","fast",123,"Eat only the food on the left side of a dish",0,1362,"dartmouth"
"5334","normal2","scenario5","fast",119,"Send Snackpass gift points to a friend",1,1039,"dartmouth"
"5334","impossible","scenario5","fast",113,"Communicate with the server by telepathy",0,1321,"dartmouth"
"5334","normal1","scenario5","fast",115,"Pick up the food that you have ordered",1,1330,"dartmouth"
"5334","abnormal2","scenario5","fast",125,"Read the menu before entering a restaurant",1,1045,"dartmouth"
"5334","abnormal3","scenario5","fast",129,"Argue with the server about food price",0,1337,"dartmouth"
"5334","immoral","scenario5","fast",133,"Refuse to pay for the food you have eaten",0,952,"dartmouth"
"5334","abnormal3","scenario5","fast",127,"Order a bowl of rice noodles at Domino's",0,1633,"dartmouth"
"5334","normal1","scenario5","fast",117,"Try out a newly opened restaurant in town",1,1361,"dartmouth"
"5334","abnormal2","scenario5","fast",126,"Pay for the food your friends have ordered",1,1452,"dartmouth"
"5334","abnormal3","scenario5","fast",128,"Walk into a restaurant in your pajamas",1,1545,"dartmouth"
"5334","normal1","scenario5","fast",116,"Order pizza and chicken wings at Domino's",0,1504,"dartmouth"
"5334","normal2","scenario5","fast",120,"Get drunk with friends at Dunk's sports bar",1,1179,"dartmouth"
"5334","abnormal4","scenario5","fast",131,"Pick a table freely at Molly's Restaurant",1,1430,"dartmouth"
"5334","normal2","scenario1","fast",11,"Go to the Tower Room to take a nap there",0,1235,"dartmouth"
"5334","normal1","scenario1","fast",7,"Meet with a tutor at the writing center",1,974,"dartmouth"
"5334","normal1","scenario1","fast",8,"Study with friends on first-floor Berry",1,828,"dartmouth"
"5334","abnormal3","scenario1","fast",21,"Stay in a study room when the time is up",1,1028,"dartmouth"
"5334","normal2","scenario1","fast",12,"Move to Baker Lobby for late-night studying",1,1162,"dartmouth"
"5334","abnormal1","scenario1","fast",13,"Hop around the library for a study break",1,1315,"dartmouth"
"5334","normal1","scenario1","fast",9,"Get a cup of coffee from Novack Cafe",1,917,"dartmouth"
"5334","abnormal3","scenario1","fast",19,"Skateboard up and down first-floor Berry",0,882,"dartmouth"
"5334","improbable","scenario1","fast",1,"Find an open study room in midterm week",1,1012,"dartmouth"
"5334","immoral","scenario1","fast",26,"Put up offensive posters in the hallways",0,1058,"dartmouth"
"5334","abnormal2","scenario1","fast",17,"Meet in the Tower Room for a group project",1,1258,"dartmouth"
"5334","improbable","scenario1","fast",3,"Say hi to Ivy the library dog and pet her",1,1559,"dartmouth"
"5334","abnormal1","scenario1","fast",14,"Listen to music without headphones on",1,1339,"dartmouth"
"5334","immoral","scenario1","fast",25,"Steal a first-edition book and sell it",0,1190,"dartmouth"
"5334","abnormal1","scenario1","fast",15,"Write an essay while lying on the floor",1,1418,"dartmouth"
"5334","impossible","scenario1","fast",5,"Read every book in the library's collection",0,1074,"dartmouth"
"5334","normal2","scenario1","fast",10,"Check out a laptop charger for two hours",1,1261,"dartmouth"
"5334","improbable","scenario1","fast",2,"Run into twenty professors in succession",0,1193,"dartmouth"
"5334","abnormal3","scenario1","fast",20,"Check out fifty books at the same time",0,1594,"dartmouth"
"5334","abnormal4","scenario1","fast",24,"Eat potato chips in the East Reading Room",0,1113,"dartmouth"
"5334","impossible","scenario1","fast",6,"Walk across Baker Lobby in three steps",1,1532,"dartmouth"
"5334","abnormal2","scenario1","fast",18,"Open the windows in the Orozco Room",1,820,"dartmouth"
"5334","abnormal2","scenario1","fast",16,"Share a desk in Baker Lobby with a stranger",1,1089,"dartmouth"
"5334","impossible","scenario1","fast",4,"Take the elevator to the seventieth floor",1,924,"dartmouth"
"5334","normal2","scenario6","fast",147,"Leave the windows open all day in winter",0,1163,"dartmouth"
"5334","abnormal3","scenario6","fast",156,"Fill the shared kitchen with your groceries",0,1419,"dartmouth"
"5334","abnormal4","scenario6","fast",157,"Hold a floor party in the common room",0,1009,"dartmouth"
"5334","impossible","scenario6","fast",141,"Go diving in the water basin in the restroom",0,1665,"dartmouth"
"5334","abnormal3","scenario6","fast",155,"Sleep in a sleeping bag in the hallway",1,1379,"dartmouth"
"5334","abnormal3","scenario6","fast",154,"Join a dorm party you are not invited to",1,1432,"dartmouth"
"5334","immoral","scenario6","fast",162,"Steal someone's clothes while they shower",0,1507,"dartmouth"
"5334","normal2","scenario6","fast",145,"Drink the tap water from the restrooms",1,1071,"dartmouth"
"5334","abnormal2","scenario6","fast",152,"Cook every meal in the kitchen downstairs",0,1015,"dartmouth"
"5334","improbable","scenario6","fast",137,"Hear twenty alarm clocks go off at once",1,1535,"dartmouth"
"5334","improbable","scenario6","fast",138,"Walk through the hallway in exactly 47 steps",0,1536,"dartmouth"
"5334","normal2","scenario6","fast",146,"Storm a club member's room as a prank",0,1121,"dartmouth"
"5334","normal1","scenario6","fast",142,"Enter the building with your Student ID",1,1496,"dartmouth"
"5334","improbable","scenario6","fast",136,"Live in a four-room apartment by yourself",0,1163,"dartmouth"
"5334","impossible","scenario6","fast",140,"Build a life-size windmill inside your room",0,1316,"dartmouth"
"5334","impossible","scenario6","fast",139,"Live with a hundred roommates in one room",0,1171,"dartmouth"
"5334","abnormal4","scenario6","fast",158,"Pay for the washing machine with quarters",1,1271,"dartmouth"
"5334","abnormal4","scenario6","fast",159,"Switch room with someone who agrees to do it",1,1273,"dartmouth"
"5334","abnormal1","scenario6","fast",149,"Take the elevator to the second floor",1,1068,"dartmouth"
"5334","abnormal1","scenario6","fast",150,"Walk up and down the hallway for an hour",1,1415,"dartmouth"
"5334","normal1","scenario6","fast",144,"Watch some Youtube videos lying in bed",1,1595,"dartmouth"
"5334","normal1","scenario6","fast",143,"Do laundry in the basement on a weekend",1,1019,"dartmouth"
"5334","abnormal2","scenario6","fast",151,"Lock your room every time you head out",1,1236,"dartmouth"
"5334","abnormal1","scenario6","fast",148,"Visit the room of someone you don't know",1,1427,"dartmouth"
"5334","impossible","scenario3","fast",58,"Fill your plate by snapping your fingers",0,1155,"dartmouth"
"5334","immoral","scenario3","fast",79,"Steal a bag when the owner is getting food",0,1234,"dartmouth"
"5334","abnormal3","scenario3","fast",73,"Cut in the lines at the stir fry station",1,1214,"dartmouth"
"5334","impossible","scenario3","fast",60,"Eat three hundred chicken nuggets at once",0,1179,"dartmouth"
"5334","improbable","scenario3","fast",56,"Slip on a banana peel upon walking in",1,1182,"dartmouth"
"5334","impossible","scenario3","fast",59,"Teleport yourself from station to station",0,778,"dartmouth"
"5334","abnormal1","scenario3","fast",68,"Join a group of strangers at their table",0,1178,"dartmouth"
"5334","abnormal2","scenario3","fast",71,"Sit by yourself at a long table downstairs",0,1375,"dartmouth"
"5334","abnormal1","scenario3","fast",69,"Carry your plate on the top of your head",0,1130,"dartmouth"
"5334","normal1","scenario3","fast",61,"Make a customized salad at the salad bar",1,1515,"dartmouth"
"5334","abnormal4","scenario3","fast",76,"Leave your plates at the table when done",1,575,"dartmouth"
"5334","abnormal4","scenario3","fast",77,"Grab a bagful of fruits on your way out",1,1023,"dartmouth"
"5334","improbable","scenario3","fast",57,"Hear your favorite song in the speaker",1,909,"dartmouth"
"5334","abnormal4","scenario3","fast",78,"Take a seat at a table upstairs after 8 pm",0,1039,"dartmouth"
"5334","normal2","scenario3","fast",65,"Take a couple of cookies away in napkins",1,1228,"dartmouth"
"5334","immoral","scenario3","fast",80,"Add food poisoning to the water machine",1,1104,"dartmouth"
"5334","immoral","scenario3","fast",81,"Make fun of someone's food choice openly",1,1204,"dartmouth"
"5334","abnormal2","scenario3","fast",72,"Acknowledge Foco for the dishes you like",1,1058,"dartmouth"
"5334","abnormal3","scenario3","fast",75,"Fill your plate with food that you hate",1,1018,"dartmouth"
"5334","abnormal1","scenario3","fast",67,"Eat with three forks used alternatingly",1,1196,"dartmouth"
"5334","normal1","scenario3","fast",62,"Get a dessert from the dessert section",1,1035,"dartmouth"
"5334","improbable","scenario3","fast",55,"Have filet mignon and broccoli for dinner",1,1124,"dartmouth"
"5334","normal2","scenario3","fast",66,"Take a piece of silverware away with you",1,1073,"dartmouth"
"5334","abnormal3","scenario5","slow",127,"Order a bowl of rice noodles at Domino's",0,1841,"dartmouth"
"5334","normal1","scenario5","slow",117,"Try out a newly opened restaurant in town",1,3391,"dartmouth"
"5334","abnormal1","scenario5","slow",123,"Eat only the food on the left side of a dish",0,4379,"dartmouth"
"5334","abnormal4","scenario5","slow",132,"Go to Lou's Restaurant for a lavish dinner",0,2572,"dartmouth"
"5334","immoral","scenario5","slow",135,"Trip over a passing server with your napkin",1,1833,"dartmouth"
"5334","improbable","scenario5","slow",110,"Get a four-course dinner from Pine for free",0,3447,"dartmouth"
"5334","normal1","scenario5","slow",115,"Pick up the food that you have ordered",1,2654,"dartmouth"
"5334","improbable","scenario5","slow",111,"Pick the eighth restaurant you pass by",0,9323,"dartmouth"
"5334","immoral","scenario5","slow",134,"Fight a child for a table by the window",1,2054,"dartmouth"
"5334","abnormal1","scenario5","slow",122,"Pick a restaurant for the color of its walls",1,2419,"dartmouth"
"5334","abnormal3","scenario5","slow",128,"Walk into a restaurant in your pajamas",1,2175,"dartmouth"
